"idencuesta","c11_w01","c11_w03","c43_w05","c08_01_w01","c08_02_w01","c08_03_w01","c08_04_w01","c08_01_w02","c08_02_w02","c08_03_w02","c08_04_w02","c08_01_w03","c08_02_w03","c08_03_w03","c08_04_w03","c08_01_w04","c08_02_w04","c08_03_w04","c08_04_w04","c08_05_w04","c08_02_w05","c08_04_w05","c08_05_w05","par_mov_w01","par_mov_w02","par_mov_w03","par_mov_w04","par_mov_w05","class_part_3","class_part_4","class_part_5"
3101222,1,1,1,1,4,1,3,2,4,1,4,3,4,1,4,1,4,1,3,4,3,1,1,2,2,2,2,1,"3","1","3"
3101231,1,1,1,3,3,1,3,3,3,3,3,5,5,5,5,4,2,1,3,3,1,2,3,1,1,2,2,1,"3","1","1"
3101232,1,2,2,3,1,1,4,3,1,1,4,3,1,1,5,1,4,2,4,4,3,3,5,2,2,2,2,2,"3","1","3"
3101233,1,1,1,1,1,3,1,3,3,4,3,2,2,3,3,1,1,3,3,1,1,3,1,1,2,1,1,1,"2","2","1"
3101243,2,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,"1","4","5"
3301011,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
3301021,2,2,2,3,1,4,1,1,1,1,2,1,1,1,1,2,1,1,4,1,3,1,3,2,1,1,2,1,"1","3","5"
3301031,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
3301041,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","4"
3301043,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,"2","2","4"
3301051,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,4,1,4,4,1,3,1,1,1,1,2,1,"1","3","2"
3301062,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,"2","2","4"
3301073,1,1,1,1,1,4,1,1,1,1,1,2,1,1,1,1,5,3,4,5,3,3,3,2,1,1,2,1,"3","1","1"
3301093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
3301102,1,1,1,3,5,5,1,1,5,4,4,1,3,3,3,1,1,2,5,1,4,4,4,2,2,1,2,2,"3","1","3"
3301103,1,1,1,3,1,1,1,2,1,1,4,3,1,1,3,3,1,1,4,1,1,5,1,1,2,1,2,2,"3","1","3"
