"idencuesta","c11_w01","c11_w03","c43_w05","c08_02_w01","c08_02_w02","c08_02_w03","c08_02_w04","c08_02_w05","estrato_disenno","segmento_disenno","ponderador02_w05","par_mov_w01","par_mov_w02","par_mov_w03","par_mov_w04","par_mov_w05","class_part_4"
14201111,2,2,1,1,1,1,1,1,6,1420111,1.08466339111328,1,1,1,1,1,"1"
14201112,1,1,1,1,1,1,1,1,6,1420111,2.10616993904114,1,1,1,1,1,"3"
14204011,2,2,1,1,1,1,1,1,6,1420401,1.48503255844116,1,1,1,1,1,"1"
14204012,2,2,2,1,1,1,1,1,6,1420401,1.98004341125488,1,1,1,1,1,"1"
14204021,1,2,2,1,1,1,1,1,6,1420402,0.24750542640686,1,1,1,1,1,"1"
14204022,2,2,2,1,1,1,1,1,6,1420402,0.480599343776703,1,1,1,1,1,"1"
14204031,1,2,2,1,1,1,1,1,6,1420403,1.32002890110016,1,1,1,1,1,"1"
14204033,1,1,1,1,1,1,3,1,6,1420403,0.640799045562744,1,1,1,2,1,"3"
14204042,2,2,1,1,1,1,1,1,6,1420404,1.28159809112549,1,1,1,1,1,"1"
14204051,2,2,2,1,1,1,1,1,6,1420405,1.2375271320343,1,1,1,1,1,"1"
14204061,2,2,1,1,1,1,1,1,6,1420406,1.32002890110016,1,1,1,1,1,"1"
14204062,2,2,2,1,1,1,1,1,6,1420406,0.990021646022797,1,1,1,1,1,"1"
14204091,2,1,2,1,1,1,2,1,6,1420409,0.480599343776703,1,1,1,1,1,"3"
14204093,2,2,2,1,1,1,1,1,6,1420409,0.720898985862732,1,1,1,1,1,"1"
14204103,2,2,2,1,1,1,1,1,6,1420410,1.32002902030945,1,1,1,1,1,"1"
14204111,2,2,2,1,1,1,1,1,6,1420411,1.32002902030945,1,1,1,1,1,"1"
14204113,2,2,2,1,1,1,1,1,6,1420411,1.92239737510681,1,1,1,1,1,"1"
131230210,2,1,1,1,1,1,1,1,1,1312302,5.13379621505737,1,1,1,1,1,"3"
131230214,2,2,2,2,1,2,3,1,1,1312302,1.73545980453491,1,1,1,2,1,"4"
