"idencuesta","c11_w01","c11_w03","c43_w05","c08_02_w01","c08_02_w02","c08_02_w03","c08_02_w04","c08_02_w05","par_mov_w01","par_mov_w02","par_mov_w03","par_mov_w04","par_mov_w05","class_part_4"
4204081,1,1,2,1,1,1,4,1,1,1,1,2,1,"3"
4204082,2,2,2,3,1,1,1,1,2,1,1,1,1,"4"
4204091,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4204093,2,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4204102,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4204103,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4204113,2,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4301011,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4301022,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4301023,2,2,2,1,1,2,4,1,1,1,1,2,1,"1"
4301033,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4301061,2,2,2,3,1,2,1,1,2,1,1,1,1,"4"
4301071,2,2,2,1,1,1,2,1,1,1,1,1,1,"4"
4301081,2,2,2,3,1,1,3,1,2,1,1,2,1,"1"
4301082,2,1,2,1,1,1,1,1,1,1,1,1,1,"3"
4301083,1,1,2,1,1,1,1,1,1,1,1,1,1,"3"
4301091,2,2,2,1,1,1,3,3,1,1,1,2,2,"1"
4301092,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4301122,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4301141,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4301143,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4301153,2,2,2,4,2,1,3,1,2,1,1,2,1,"1"
4301162,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4301164,2,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4301171,2,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4301173,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
4301182,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4301184,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
4301201,2,2,2,2,1,1,2,1,1,1,1,1,1,"4"
4301211,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4301213,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4301221,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4301223,1,2,1,1,1,1,2,1,1,1,1,1,1,"4"
